"BE_M_2024","BE_F_2024","BE_M_2020","BE_F_2020"
"1000000.000","1000000.000","1000000.000","1000000.000"
"996167.910","996879.133","996627.137","996867.794"
"995995.976","996592.334","996462.165","996679.238"
"995864.693","996454.953","996397.328","996544.038"
"995783.627","996353.109","996302.168","996411.205"
"995686.409","996285.615","996193.157","996378.603"
"995622.961","996203.161","996040.668","996282.603"
"995560.506","996170.574","995950.739","996251.079"
"995422.832","996090.448","995861.852","996204.582"
"995347.720","996043.223","995832.700","996158.903"
"995288.778","996012.267","995775.233","996098.781"
"995259.806","995920.699","995760.946","996038.949"
"995202.507","995875.720","995703.881","995948.821"
"995103.784","995816.777","995603.127","995797.574"
"994992.525","995700.305","995515.215","995629.716"
"994937.242","995627.844","995411.264","995520.980"
"994771.649","995511.374","995350.979","995362.172"
"994563.076","995394.146","995212.668","995184.764"
"994338.053","995231.465","994978.847","994988.575"
"994014.729","995052.882","994655.765","994859.312"
"993745.792","994902.705","994205.137","994717.377"
"993372.608","994706.836","993699.422","994561.575"
"992893.030","994510.216","993253.284","994453.239"
"992431.380","994331.508","992695.367","994362.376"
"991996.334","994130.084","992175.321","994141.084"
"991554.108","993989.025","991760.266","993907.861"
"990933.063","993862.831","991364.551","993705.964"
"990251.156","993697.270","990648.168","993552.061"
"989725.456","993466.040","990127.880","993230.041"
"989201.575","993249.026","989646.531","993046.738"
"988441.497","992978.426","988988.011","992878.109"
"987930.339","992634.093","988377.079","992643.318"
"987279.659","992391.181","987631.622","992263.058"
"986693.925","992077.833","986667.957","991933.225"
"985936.234","991778.977","985990.104","991613.470"
"985160.064","991478.472","985145.275","991183.117"
"984277.620","990886.278","984106.284","990832.361"
"983513.904","990442.352","983168.951","990348.307"
"982640.457","989878.012","982137.835","989802.994"
"981680.163","989320.856","981087.719","989252.717"
"980490.953","988761.708","979921.869","988554.220"
"979529.674","987995.906","978668.789","987840.215"
"978102.267","987211.011","977479.892","986943.149"
"976889.618","986370.907","976078.488","986077.533"
"975238.876","985477.655","974399.890","984956.476"
"974013.529","984631.225","972863.034","984008.061"
"972228.892","983575.404","970864.351","983022.547"
"970018.697","982273.689","968664.493","981882.827"
"968020.238","981016.731","966379.760","980436.688"
"966075.631","979508.262","963937.844","978852.671"
"963480.461","978083.581","961082.555","976901.346"
"960544.786","976486.495","958236.293","974843.814"
"957588.387","974735.666","955091.841","972776.438"
"954025.667","972729.986","951532.189","970491.282"
"950521.280","970521.662","947315.070","968108.270"
"946507.270","967905.199","942934.604","965467.108"
"942446.539","965433.317","938390.131","962281.240"
"937772.264","962688.500","933458.080","959022.483"
"933278.271","959834.948","927401.188","955528.692"
"927882.906","956255.114","920624.250","951824.300"
"922270.866","952339.785","913445.907","947927.229"
"916405.562","948186.461","905687.970","943496.870"
"909516.644","943686.720","897395.125","938766.828"
"901826.298","938764.081","887708.763","933277.127"
"892798.795","933154.920","877623.864","926687.230"
"883578.673","927645.224","866227.322","919664.821"
"873616.681","921146.531","854207.851","912326.435"
"862262.171","914180.716","841113.911","904564.095"
"850153.250","906040.832","826323.200","895456.026"
"837060.018","898076.069","810152.904","886327.649"
"821780.720","887778.168","793417.979","876152.412"
"806130.357","877689.024","775612.916","865335.588"
"789591.961","866460.327","756882.722","853385.149"
"771241.495","854428.554","736287.035","839980.282"
"751611.478","841908.021","714505.090","825828.917"
"731224.068","827374.615","690693.275","810097.582"
"708618.003","811531.853","665802.299","792898.221"
"685463.226","796020.610","639220.923","774239.488"
"660359.062","777208.258","611137.541","754412.124"
"634093.224","758233.708","582064.546","730514.336"
"605638.166","736406.669","551091.753","706914.135"
"575459.040","712697.253","516806.864","679247.157"
"542898.587","686632.253","480822.192","649842.206"
"511635.603","658075.097","444638.674","615887.707"
"477375.760","627736.723","406966.368","579929.571"
"440146.889","593028.167","367275.949","541610.695"
"402649.110","556709.662","327700.808","500847.117"
"363676.152","516586.658","288164.182","456542.033"
"323015.669","475713.661","248463.062","409440.125"
"283333.654","431325.914","209198.821","361310.111"
"244804.776","383827.610","175076.112","314158.596"
"207091.884","335398.826","139814.776","265546.219"
"172100.167","288432.567","108471.827","219278.902"
"139261.400","241631.145","82228.090","175913.209"
"109097.390","197001.564","60937.894","137838.613"
"83755.021","158296.257","43557.133","104729.257"
"61742.759","123519.283","30285.300","77656.830"
"42367.704","93650.746","19955.096","56417.428"
"30376.921","67583.452","12995.201","38345.229"
"20076.029","48197.468","8047.615","25312.255"
"12361.687","32651.628","4910.266","16515.121"
"7637.883","21576.011","2521.015","9660.491"
"4447.667","13405.805","1752.468","5901.267"
"2621.661","7962.519","1046.942","3579.299"
"1411.652","4998.952","574.574","2102.041"
"1099.396","3056.568","214.000","1209.585"